,product_name,brand_name,offer_description,retailer_name,valid_from,valid_to,price,quantity,categories,image,Coicop5_Final,Coicop4_Final,Coicop3_Final,Coicop2_Final,Predicted_COICOP_5_Category,Predicted_COICOP_4_Category,Predicted_COICOP_3_Category,Predicted_COICOP_2_Category
14886,Red Paprika Chips,Chio,175-g-Packung + 25 g mehr Inhalt,EDEKA Center,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,1.11,1,Chips Knabberartikel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3565901/images/default/0/msmall.jpg,01175,0117,011,01,nan,nan,nan,nan
31573,Wildlachs-Filets,Femeg,250 g,EDEKA Center,2018-03-04 23:00:00.0,2018-03-10 22:59:00.0,2.49,1,Tiefkühlfisch Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3683834/images/default/0/msmall.jpg,01132,0113,011,01,nan,nan,nan,nan
87,Mineralwasser,Aegidius,"Classic oder Medium 12 x 0,7 Liter, jeder Kasten (+ 3,30 Pfand)",real,2016-09-11 22:00:00.0,2016-09-17 21:59:00.0,2.29,12,Wasser Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/288722/images/default/0/msmall.jpg,01221,0122,012,01,nan,nan,nan,nan
302465,Die Limo,Granini,"verschiedene Sorten, 1-L-PET-Flasche zzgl. 0,25 € Pfand",EDEKA Neukauf,2019-04-14 22:00:00.0,2019-04-20 21:59:00.0,1.11,1,Softdrinks Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/5207905/images/default/0/msmall.jpg,01222,0122,012,01,nan,nan,nan,nan
290905,Salz,Bad Reichenhaller,90 g Dose,EDEKA Center,2019-03-31 22:00:00.0,2019-04-06 21:59:00.0,0.99,1,Salz Gewürze Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5149370/images/default/0/msmall.jpg,01192,0119,011,01,nan,nan,nan,nan
1171,Pasta,Buitoni,aus 100% Hartweizen oder Vollkorn je 500 g Beutel,EDEKA Simmel,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.65,1,Nudeln Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3463487/images/default/0/msmall.jpg,01116,0111,011,01,nan,nan,nan,nan
20493,Müsli Schoko,Kölln,2000-g-Pkg.,REWE,2018-02-18 23:00:00.0,2018-02-24 22:59:00.0,5.99,1,Müslimischungen Müsli & Cerealien Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3605172/images/default/0/msmall.jpg,01117,0111,011,01,nan,nan,nan,nan
6611,Tafeläpfel Cripps Pink,Pink Lady,aus Italien Klasse I 2kg Karton,CAP MARKT,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,3.33,1,Äpfel Äpfel Äpfel Äpfel Obst Obst Obst Obst Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3503356/images/default/0/msmall.jpg,01161,0116,011,01,nan,nan,nan,nan
5538,Tortillas,Chio,125 g,EDEKA Center,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,1.29,1,Chips Knabberartikel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3491099/images/default/0/msmall.jpg,01175,0117,011,01,nan,nan,nan,nan
9433,Fleischsalat,Bauern Gut,200 g Schale,EDEKA Center,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,0.99,1,"Wurstsalate Aufstriche, Feinkostsalate & Antipasti Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/3520036/images/default/0/msmall.jpg,01128,0112,011,01,nan,nan,nan,nan
17658,Weißkohl,Rewe Regional,1 kg,REWE,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,0.39,1,Kohl Kohl Kohl Kohl Gemüse Gemüse Gemüse Gemüse Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3583488/images/default/0/msmall.jpg,01171,0117,011,01,nan,nan,nan,nan
202030,Hirschgulasch,not_available,100 g,EDEKA Paschmann,2018-11-04 23:00:00.0,2018-11-10 22:59:00.0,1.99,1,Wildfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4669292/images/default/0/msmall.jpg,01125,0112,011,01,nan,nan,nan,nan
10365,Bio-Apfelessig,Edeka Bio,750 ml,EDEKA,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,1.49,1,"Essig Soßen, Fonds & Dressings Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/3524971/images/default/0/msmall.jpg,01191,0119,011,01,nan,nan,nan,nan
10046,Bunter Party-Mix,Hitschler,375-g-Btl.,REWE,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,2.49,1,Fruchtgummi Süßigkeiten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3523085/images/default/0/msmall.jpg,01184,0118,011,01,nan,nan,nan,nan
238384,Suppenhuhn,not_available,"ohne Innereien, HKL. A, 1 kg",EDEKA Neukauf,2019-01-13 23:00:00.0,2019-01-19 22:59:00.0,3.99,1,Geflügel Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4876482/images/default/0/msmall.jpg,01124,0112,011,01,nan,nan,nan,nan
364954,Grillsaucen,Thomy,und Würzsause 230 ml,EDEKA,2019-08-04 22:00:00.0,2019-08-10 21:59:00.0,1.19,1,"Dips Soßen, Fonds & Dressings Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/5529685/images/default/0/msmall.jpg,01191,0119,011,01,nan,nan,nan,nan
3167,Bio-Cherrytomaten,Rewe Bio,250-g-Pkg.,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.79,1,Tomaten Tomaten Tomaten Tomaten Gemüse Gemüse Gemüse Gemüse Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3475404/images/default/0/msmall.jpg,01171,0117,011,01,nan,nan,nan,nan
18257,Aprikosen,Edeka,410g Dose,CAP MARKT,2018-02-16 23:00:00.0,2018-02-24 22:59:00.0,0.88,1,Obstkonserven Konserven & Eingelegtes Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3588957/images/default/0/msmall.jpg,01164,0116,011,01,nan,nan,nan,nan
12386,Kærgården,Arla,"der Kærgården Balance gesalzen oder ungesalzen, jede 250-g-Packung",real,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,1.49,1,"Butter Milcherzeugnisse, Fett & Ei Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/3546481/images/default/0/msmall.jpg,01151,0115,011,01,nan,nan,nan,nan
22693,Raffinade Zucker,Tip,"1000-g-Packung Normal-Einzelpreis: 0.69,Ab 5 Packungen 0.55",real,2018-02-25 23:00:00.0,2018-03-03 22:59:00.0,0.69,1,Zucker Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3623084/images/default/0/msmall.jpg,01181,0118,011,01,nan,nan,nan,nan
225925,Würzmittel,Melfor,750 ml,REWE,2018-12-16 23:00:00.0,2018-12-23 22:59:00.0,0.99,1,"Essig Soßen, Fonds & Dressings Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/4805135/images/default/0/msmall.jpg,01191,0119,011,01,nan,nan,nan,nan
44466,Butter-Blätterteig,Edeka,250 g Packung,EDEKA Center,2018-03-25 22:00:00.0,2018-03-31 21:59:00.0,1.29,1,Fruchtgummi Süßigkeiten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3771487/images/default/0/msmall.jpg,01118,0111,011,01,nan,nan,nan,nan
90480,Cranberries,Seeberger,125-200-g,REWE,2018-06-03 22:00:00.0,2018-06-09 21:59:00.0,1.59,1,Trockenobst Trockenobst Trockenobst Trockenobst Obst Obst Obst Obst Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4077878/images/default/0/msmall.jpg,01163,0116,011,01,nan,nan,nan,nan
25000,Hartweizengrieß Mehl,De Cecco,oder Weichweizenmehl 1 kg Packung,EDEKA Center,2018-02-25 23:00:00.0,2018-03-03 22:59:00.0,1.79,1,Mehl Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3639530/images/default/0/msmall.jpg,01112,0111,011,01,nan,nan,nan,nan
7668,Nimm2 Lachgummi Heroes,Storck,750-g-Dose,REWE,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,3.29,1,Fruchtgummi Süßigkeiten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3507850/images/default/0/msmall.jpg,01184,0118,011,01,nan,nan,nan,nan
14600,Steinofen-Pizza,Original Wagner,"oder Pizzies, Piccolinis, Flammkuchen 250-380-g-Pkg.",REWE,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,1.49,1,Tiefkühlpizza Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3564394/images/default/0/msmall.jpg,01115,0111,011,01,nan,nan,nan,nan
3438,Bambussprosse,Lien Ying,ATG 175-g 350-g-Glas,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,2.29,1,Gemüsekonserven Konserven & Eingelegtes Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3477160/images/default/0/msmall.jpg,01173,0117,011,01,nan,nan,nan,nan
351896,Extra Gelierzucker 2:1,Dr. Oetker,500 g Pkg.,EDEKA Center,2019-07-14 22:00:00.0,2019-07-20 21:59:00.0,0.99,1,Zucker Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5463909/images/default/0/msmall.jpg,01181,0118,011,01,nan,nan,nan,nan
68270,Kaninchen-Keulen,Brefood,"aus Bodenhaltung, küchenfertig, gefroren, jede 1000-g-Packung",real,2018-05-06 22:00:00.0,2018-05-19 21:59:00.0,8.99,1,Wildfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3941421/images/default/0/msmall.jpg,01125,0112,011,01,nan,nan,nan,nan
1060,Rinderbraten,Kunzler,oder -Gulasch aus der Keule,CAP MARKT,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,9.49,1,Rindfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3462835/images/default/0/msmall.jpg,01121,0112,011,01,nan,nan,nan,nan
141318,Hauskaninchen,not_available,1 kg,EDEKA Paschmann,2018-07-29 22:00:00.0,2018-08-04 21:59:00.0,9.99,1,Wildfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4340486/images/default/0/msmall.jpg,01125,0112,011,01,nan,nan,nan,nan
5592,Apfelchips,Edeka Bio,370 ml,EDEKA Center,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.69,1,Trockenobst Trockenobst Trockenobst Trockenobst Obst Obst Obst Obst Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3492276/images/default/0/msmall.jpg,01163,0116,011,01,nan,nan,nan,nan
125580,Taco Mix Würzmischung,Don Enrico,27 g,REWE,2018-07-08 22:00:00.0,2018-07-14 21:59:00.0,1.59,1,Gewürzmischungen Gewürze Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4257966/images/default/0/msmall.jpg,01192,0119,011,01,nan,nan,nan,nan
770,Gurken,Gut & Günstig,aus Spanien Klasse I Stück,CAP MARKT,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.49,1,Gurke Gurke Gurke Gurke Gemüse Gemüse Gemüse Gemüse Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3461866/images/default/0/msmall.jpg,01171,0117,011,01,nan,nan,nan,nan
4636,Gemüsekonserven,Bonduelle,300g-400g Dose/ ATG 220g-285g,EDEKA,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.66,1,Gemüsekonserven Konserven & Eingelegtes Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3484925/images/default/0/msmall.jpg,01173,0117,011,01,nan,nan,nan,nan
2531,Hähnchen Minutenschnitzel,not_available,400-g-Pkg.,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,3.49,1,Geflügel Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3470798/images/default/0/msmall.jpg,01124,0112,011,01,nan,nan,nan,nan
356327,Kuchen Backmischungen,Kathi,270-485g,CAP MARKT,2019-07-28 22:00:00.0,2019-08-03 21:59:00.0,1.49,1,Backmischungen Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5486897/images/default/0/msmall.jpg,01118,0111,011,01,nan,nan,nan,nan
5660,Bio-Cherrytomaten,Rewe Bio,250-g-Pkg.,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.79,1,Tomaten Tomaten Tomaten Tomaten Gemüse Gemüse Gemüse Gemüse Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3492877/images/default/0/msmall.jpg,01171,0117,011,01,nan,nan,nan,nan
14879,Schlemmer Filet Bordelaise,Gut & Günstig,"tiefgefroren, Alaska Seelachs, MSC-zertifiziert, 400 g Packung",EDEKA Paschmann,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,1.59,1,Tiefkühlfisch Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3565870/images/default/0/msmall.jpg,01136,0113,011,01,nan,nan,nan,nan
4618,Senf,Bautz'ner,200ml Becher,EDEKA,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.29,1,"Dips Soßen, Fonds & Dressings Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/3484852/images/default/0/msmall.jpg,01191,0119,011,01,nan,nan,nan,nan
4014,Rinder-Rouladen,Meine Metzgerei,Frisch Aus der Keule Ohne Füllung 500-g-Packung,ALDI Süd,2018-02-08 23:00:00.0,2018-02-10 22:59:00.0,4.99,1,Rindfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3480418/images/default/0/msmall.jpg,01121,0112,011,01,nan,nan,nan,nan
19719,Unsere Goldstücke,Coppenrath & Wiese,"kernig&kräftig, gefroren je 6er Beutel",EDEKA Neukauf,2018-02-18 23:00:00.0,2018-02-24 22:59:00.0,1.77,1,Tiefkühlbackwaren Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3599715/images/default/0/msmall.jpg,01113,0111,011,01,nan,nan,nan,nan
2265,Expertenröstung,Jacobs,1000-g-Pkg.,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,8.99,1,Kaffee Heißgetränke Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/3468867/images/default/0/msmall.jpg,01211,0121,012,01,nan,nan,nan,nan
1918,Chile Heidelbeeren,not_available,"Kennzeichnung siehe Etikett, jede 125-g-Schale",real,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,1,1,Beeren Beeren Beeren Beeren Obst Obst Obst Obst Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3466479/images/default/0/msmall.jpg,01161,0116,011,01,nan,nan,nan,nan
337039,Fruit-Nut-Mix,Trader Joe's,"Hergestellt in Deutschland; inden Sorten Pflaumen, Walnusskerne, Mandeln oder Cranberries, Pekannusskerne, Mandeln 150-g-Beutel",ALDI Nord,2019-07-04 22:00:00.0,2019-07-06 21:59:00.0,1.99,1,Kekse Süßigkeiten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5382878/images/default/0/msmall.jpg,01114,0111,011,01,nan,nan,nan,nan
1459,Cabernet Dorsa,Ortenauer Weinkeller,0.75 Liter,EDEKA Neukauf,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,3.49,1,Rotweine Weine Alkoholische Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/3464447/images/default/0/msmall.jpg,02121,0212,021,02,nan,nan,nan,nan
183785,Feines Butterschmalz,Butaris,"zum Braten, Backen, Kochen & Frittieren 500g Becher",EDEKA Center,2018-10-07 22:00:00.0,2018-10-13 21:59:00.0,4.99,1,"Butter Milcherzeugnisse, Fett & Ei Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/4572347/images/default/0/msmall.jpg,01151,0115,011,01,nan,nan,nan,nan
131247,Frischkäse,Philadelphia,175g,EDEKA,2018-07-15 22:00:00.0,2018-07-21 21:59:00.0,0.95,1,"Käse Milcherzeugnisse, Fett & Ei Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/4289479/images/default/0/msmall.jpg,01145,0114,011,01,nan,nan,nan,nan
1952,Smoothie,Rewe to go,250-ml-Fl.,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.99,1,Softdrinks Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/3466641/images/default/0/msmall.jpg,01223,0122,012,01,nan,nan,nan,nan
39775,Knoblauch,not_available,150-g-Netz,REWE,2018-03-18 23:00:00.0,2018-03-24 22:59:00.0,0.69,1,Zwiebelgemüse Zwiebelgemüse Zwiebelgemüse Zwiebelgemüse Gemüse Gemüse Gemüse Gemüse Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3738739/images/default/0/msmall.jpg,01171,0117,011,01,nan,nan,nan,nan
332150,Kuchenbackmischung,Kathi,"versch. Sorten, 450–485 g Packung",CAP MARKT,2019-06-16 22:00:00.0,2019-06-22 21:59:00.0,1.49,1,Backmischungen Koch- & Backzutaten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5357618/images/default/0/msmall.jpg,01118,0111,011,01,nan,nan,nan,nan
34418,Sauer Goldbären,Haribo,Je 200-g-Packung,ALDI Süd,2018-03-22 23:00:00.0,2018-03-24 22:59:00.0,0.65,1,Fruchtgummi Süßigkeiten Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3702377/images/default/0/msmall.jpg,01184,0118,011,01,nan,nan,nan,nan
152977,Datteln,Kluth,500 g Beutel,REWE,2018-08-19 22:00:00.0,2018-08-25 21:59:00.0,3.99,1,Trockenobst Trockenobst Trockenobst Trockenobst Obst Obst Obst Obst Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4402098/images/default/0/msmall.jpg,01163,0116,011,01,nan,nan,nan,nan
5136,Gala Mild & Sanft,Eduscho,"gemahlen, vakuumverpackt 500g Packung",EDEKA Center,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,3.69,1,Kaffee Heißgetränke Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/3487660/images/default/0/msmall.jpg,01211,0121,012,01,nan,nan,nan,nan
2011,Pizzetta Diavola,La Pizza Premium,"2 x 140 g (1 kg = € 8,89) und weitere Sorten, tiefgefroren, Packung",EDEKA Neukauf,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,2.49,2,Tiefkühlpizza Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3467084/images/default/0/msmall.jpg,01115,0111,011,01,nan,nan,nan,nan
45967,Bunte Eier,Eierhof Hennes,Premium Mix 4-Stück-Pkg.,REWE,2018-03-25 22:00:00.0,2018-03-31 21:59:00.0,1.11,1,"Eier Milcherzeugnisse, Fett & Ei Lebensmittel",https://mg2de.b-cdn.net/api/v1/offers/3782287/images/default/0/msmall.jpg,01147,0114,011,01,nan,nan,nan,nan
175316,Echt & Gut Bio-Speisekürbis Spaghetti,Unsere Heimat,"aus Deutschland, 1 kg",EDEKA Center,2018-09-23 22:00:00.0,2018-09-29 21:59:00.0,1.99,1,Zucchini Zucchini Zucchini Zucchini Gemüse Gemüse Gemüse Gemüse Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4522519/images/default/0/msmall.jpg,01171,0117,011,01,nan,nan,nan,nan
329495,Haferflocken,Kölln,100 % Hafer-Vollkorn; in den Sorten Blütenzarte Köllnflocken oder Echte Kölln Kernige 500-g-Packung,ALDI Nord,2019-06-13 22:00:00.0,2019-06-15 21:59:00.0,0.99,1,Müslimischungen Müsli & Cerealien Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5347373/images/default/0/msmall.jpg,01117,0111,011,01,nan,nan,nan,nan
10202,Pom-Bär,Funny Frisch,75 g Beutel,EDEKA Center,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,0.99,1,Chips Knabberartikel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3524244/images/default/0/msmall.jpg,01175,0117,011,01,nan,nan,nan,nan
